价格（￥）,名称,sku,药品通用名,有效期,药品分类,剂型,储存条件,使用剂量,适用症/功能主治,不良反应,儿童用药,老年用药,禁忌,批准文号
￥35.00,"
民间郎中达克罗宁延时软膏油膏凝胶男用房事外用呈绿治疗早I泄用药喷剂盐酸利多丁卡因软膏持I久不麻木延迟乳膏",100079866290,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥34.00,[澄海楼] 祖师麻片0.3g*54片/盒,4007575,祖师麻片,参考药品说明书,（处方药）中成药,片剂,密封,未知,未知,常见：胃部反应及头晕。,未知,未知,尚不明确。,国药准字Z20023018
￥125.00,同仁堂 参苓白术丸6g*12袋/盒*5盒健脾 益气 用于体倦乏力 食少便溏,100053448335,参苓白术丸,48,（非处方药）中成药,丸剂,密封。,一次6克，一日3次。,健脾、益气。用于体倦乏力，食少便溏。,尚不明确。,未知,未知,详见说明书,国药准字Z11020947
￥15.00,好医生 咳特灵胶囊10粒/板*2板/盒 镇咳 祛痰 平喘 消炎 用于咳喘及慢性支气管炎咳嗽,100069538688,咳特灵胶囊,24,（非处方药）中成药,胶囊剂,密封。,口服，一次1粒，一日三次。,镇咳，祛痰，平喘，消炎。用于咳喘及慢性支气管炎咳嗽。,详情见说明书,未知,未知,详情见说明书,国药准字Z14020808
￥66.00,【3盒装】合贝爽 盐酸地尔硫䓬缓释胶囊(Ⅱ)90mg*10粒,100079518114,盐酸地尔硫䓬缓释胶囊(Ⅱ),36,（处方药）化学药制剂,胶囊剂,遮光、密封保存,未知,未知,常见：浮肿；头痛；恶心；眩晕；皮疹；无力2.其他不良反应：心绞痛；心律失常；多梦；遗忘；抑郁；厌食；便秘；腹泻；味觉障碍,未进行该项实验且无可靠文献。,建议老年患者从低剂量开始用药。,详见说明书。,国药准字H19990388
￥4.20,[彼朗宁] 盐酸西替利嗪片10mg*12片/盒,100051361239,盐酸西替利嗪片,36,（处方药）化学药制剂,片剂,遮光，密封，在干燥处（10~30℃）保存,未知,未知,常见：困倦、嗜睡、头痛、眩晕、激动、口干及胃肠道不适等。其他：天门冬氨酸氨基转移酶轻度升高。,儿童必须在成人监护下使用。,未知,未知,国药准字H20103387
￥30.00,[同仁堂] 复方丹参片0.32g*200片/瓶,100029219808,复方丹参片,36,（处方药）中成药,片剂,密封,未知,未知,常见：恶心、呕吐、头晕、瘙痒。其他：乏力、口干、过敏。,未知,未知,尚不明确。,国药准字Z11021185
￥39.80,"
葵花中方静脉曲张冷敷凝胶医用静脉曲张型专用凝胶藥腿部血管凸起肿胀青筋凸起肢体酸胀疼痛麻木灼热蚯蚓腿 1支体验装【下单2支发3支】",10096161606524,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥39.00,"
鸡尤康鸡眼贴药水鸡眼膏去I根去肉刺手部脚趾底瘊子猴子除肉粒疙瘩寻常跖疣灵丝状扁平疣专用薬成人脚趾",100071202074,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥20.90,芬必得 布洛芬咀嚼片 0.2g*10片本品用于缓解中度疼痛 牙痛头痛痛经 用于普通感冒或流行性感冒引起的发热,3119493,布洛芬咀嚼片,24,（非处方药）化学药制剂,片剂,25℃以下干燥处密封保存。,口服，咀嚼后咽下，成人一次1片，若持续疼痛或发热，可间隔4-6小时重复用药1次，24小时不超过4次。,本品用于缓解中度疼痛，如牙痛、头痛、偏头痛、神经痛、肌肉痛、关节痛、痛经。也用于普通感冒或流行性感冒引起的发热。,1、少数病人可出现恶心、呕吐、腹痛、腹泻、便秘、胃烧灼感或轻度消化不良、胃肠溃疡及出血、转氨酶升高、头痛、头晕、耳鸣、视力模糊、精神紧张、嗜睡、下肢水肿或体重骤增。2、其他详见说明书,未知,未知,1、对布洛芬、本品中辅料、阿司匹林或其他非甾体抗炎药过敏者禁用。2.孕妇及哺乳期妇女禁用。3.对阿司匹林过敏的哮喘患者禁用。4.肝病、肾病及心脏疾病患者禁用。5.其他详见说明书,国药准字H20140018
￥101.00,万艾可 枸橼酸西地那非片 50mg*2片 ,3541137,枸橼酸西地那非片,36,（处方药）化学药制剂,片剂,遮光，密封保存。,未知,未知,常见不良反应：头痛、潮红、消化不良、鼻塞、视觉异常、背部疼痛、头晕和皮疹等。,西地那非不适用于新生儿、儿童。,健康老年志愿者（≥65岁）的西地那非清除率降低。鉴于血药浓度较高可能同时增加疗效和不良事件的发生，故起始剂量以25mg为宜。,详见说明书,国药准字H20020527
￥36.50,双鲸维生素D滴剂(胶囊型） 400单位*30粒 预防骨质疏松症维生素D缺乏性佝偻病,100008517985,维生素D滴剂,24,（非处方药）化学药制剂,滴剂,遮光，密封，25℃以下保存,儿童一日1-2粒；成人一日1-2粒,(1)预防维生素D缺乏性佝病。(2)预防骨质疏松症。,未知,未知,未知,未知,国药准字H20113033
￥36.90,"
福东海 制黄精 250克 黄精炙黄精片 九蒸九晒熟养生茶五宝茶原料搭锁阳肉苁蓉淫羊藿泡酒料可搭川断二仙汤",4016609,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥24.90,"
白云云山苍耳子鼻炎油散过敏性鼻炎适用于鼻塞鼻干鼻痒流鼻涕可搭鼻炎喷剂特殊效专用鼻药房同款儿童可用",100083859675,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥37.00,[优可适] 苯扎氯铵溶液150ml:0.15g/瓶,4606471,苯扎氯铵溶液,24,（处方药）化学药制剂,外用液体剂,避光，密闭保存,未知,未知,常见：变态反应性结膜炎、视力减退、接触性皮炎。其他：皮疹、瘙痒感等。,儿童必须在成人监护下使用。,尚不明确,对本品过敏者禁用。,国药准字H20063993
￥2.80,华中维生素B1片100片/瓶补充老人成人儿童维生素B族,100009072217,维生素B1片,36,（非处方药）化学药制剂,片剂,遮光，密封保存,未知,本品适用于预防和治疗维生素B1缺乏症，如脚气病、神经炎、消化不良等。,推荐剂量的维生素B1几乎无毒性，过量使用可出现头痛、疲倦、烦燥、食欲缺乏、腹泻、浮肿。,未知,未知,对本品过敏者禁用，过敏体质者慎用。,国药准字H42020611
￥25.00,神威 清开灵软胶囊0.4g*8粒*2板上呼吸道感染、病毒性感冒、急性咽炎、急性气管炎,100010960285,清开灵软胶囊,30,（非处方药）中成药,胶囊剂,密封，置阴凉（不超过20℃）干燥处,具体详见说明书,本品用于外感风热时毒、火毒内盛所致发热、烦躁不安、咽喉肿痛、舌质红绛、苔黄、脉数者；上呼吸道感染、病毒性感冒、急性咽炎、急性气管炎等病症属上述证候者。,详见说明书,未知,未知,详见说明书,国药准字Z10970050
￥31.90,片仔癀PZH复方片仔癀含片24片药品旗舰利咽止痛润喉急慢性咽炎,100013155062,复方片仔癀含片,24,（非处方药）中成药,片剂,密封,未知,本品用于风热上攻，肺胃热盛所致急、慢性咽喉炎。,偶见药疹。,未知,未知,孕妇忌服。,国药准字B20050066
￥235.00,"京东国际	
Thaikal强骨力胶囊泰国进口 氨糖辅酶q10风湿骨痛骨质增生关节炎疼痛风强筋骨专用 成人中老年维骨力软骨素100粒",100003893665,未知,4年,未知,未知,存放于儿童不能触碰的地方及阴凉干燥处，避免阳光直射,未知,灵活关节 润滑关节,未知,未知,未知,未知,未知
￥25.00,[药信] 疏风解毒胶囊 0.52g*12粒*2板/盒 急性上呼吸道感染 发热 恶风 咽痛 头痛 鼻塞 流浊涕 咳嗽,100076793423,疏风解毒胶囊,24,（非处方药）中成药,胶囊剂,密封。,详见说明书且遵医嘱使用,疏风清热，解毒利咽。用于急性上呼吸道感染属风热证，症见发热，恶风，咽痛，头痛，鼻塞流浊涕，咳嗽。,详见说明书且遵医嘱使用,详见说明书且遵医嘱使用,详见说明书且遵医嘱使用,详见说明书且遵医嘱使用,国药准字Z20090047
￥69.00,海驰 阿伐那非片 100mg*3片/盒,100026125632,阿伐那非片,24,（处方药）化学药制剂,片剂,30℃以下密封保存。,未知,未知,常见：头痛、背痛、鼻窦炎、面部潮红等；其他：高血压、心绞痛、心悸等；低血糖；鼻充血、鼻出血等。,阿伐那非不适用于儿童。18岁以下患者的有效性和安全性尚未明确。,阿伐那非国外临床试验中65岁或以上的受试者约占23%。65岁以上患者的有效性和安全性与年轻患者相比总体无差异，因此无需仅因为年龄而调整用药剂量。但需注意部分老年患者对药物的敏感性更高（见【药代动力学】）。,硝酸酯类药物、过敏反应、与鸟苷酸环化酶(GC)激动剂合用（详见说明书）,国药准字H20213212
￥14.00,腾药 五子衍宗丸 60g/盒 补肾益精 阳痿不育 早泄遗精 腰痛 尿后余沥 ,100023002950,五子衍宗丸,48,（非处方药）中成药,丸剂,密封。,一次6克（约30粒）,补肾益精。用于肾虚精亏所致的阳痿不育、遗精早泄、腰痛、尿后余沥。,尚不明确,未知,未知,未知,国药准字Z53020333
￥49.00,"
【云南本草】妙芝堂 皮炎湿疹止痒根去膏湿疹药房同售止痒膏皮肤瘙痒皮炎湿疹真菌皮癣感染成人专用",100088625601,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥16.50,[葵花] 心安胶囊80mg*12粒*3板/盒,100046424497,心安胶囊,36,（处方药）中成药,胶囊剂,密封。,未知,未知,尚不明确。,未知,未知,尚不明确。,国药准字Z13021361
￥63.80,[能全素] 整蛋白型肠内营养剂(粉剂)320g/瓶,4583437,整蛋白型肠内营养剂（粉剂）,24,（处方药）化学药制剂,粉剂,避光、密闭，常温保存。已冲调好的产品应放在冰箱中，4℃条件下最多存放24小时。,未知,未知,常见：恶心、呕吐、腹泻和腹痛等肠道不良反应。,1.不宜用于1岁以内的婴儿；2.不宜作为1～5岁儿童的单一营养来源；3.使用时应根据病人情况由医师处方决定。,本品为营养支持用药，可用于老年患者。,1.肠道功能衰竭患者禁用；2.完全性肠道功能梗阻患者禁用；3.严重腹腔内感染患者禁用；4.对本品中任一成分过敏的患者禁用；5.对本品中任一成分有先天性代谢障碍的患者禁用；6.顽固性腹泻等需要进行肠道休息处理的患者禁用。,国药准字HJ20170172
￥28.80￥25.80,立方 克痤隐酮凝胶 6g/支 用于黑头 白头粉刺及脓疮型痤疮,3195928,克痤隐酮凝胶,18,（非处方药）中成药,凝胶剂,密封，置阴凉处（不超过20℃），避光保存。,详见说明书,黑头、白头粉刺,尚不明确。,未知,未知,儿童，孕妇，哺乳期禁用。,国药准字Z20153071
￥34.00, 雷氏 猴头菌片0.26克*160片 养胃 和中慢性浅表性胃炎胃痛,4292773,猴头菌片,36,（非处方药）中成药,片剂,密封,详见说明书,本品用于慢性浅表性胃炎引起的胃痛。,详见说明书,未知,未知,对本品过敏者禁用。,国药准字Z20003332
￥47.50,杜密克 乳果糖口服溶液667mg/ml 15ml*6袋 治疗慢性功能性便秘 ,6403036,乳果糖口服溶液,36,（非处方药）化学药制剂,溶液剂,"避光,10-25°C保存。",详见说明书,慢性功能性便秘,详见说明书,未知,未知,"1.阑尾炎、肠梗阻、不明原因的腹痛、急腹痛及同时使用其他导泻剂者禁用。2.本品含有可吸收的糖,糖尿病、半乳糖血症患者禁用。 3.对乳果糖及其组分过敏者禁用。 4.对乳糖、果糖或半乳糖不耐受者禁用。 5.尿毒症患者禁用。",国药准字HJ20171057（原H20171057）
￥45.00,诺欣妥 诺华 沙库巴曲缬沙坦钠片 100mg*14片/盒诺欣妥100mg,100001924327,沙库巴曲缬沙坦钠片,36,（处方药）化学药制剂,片剂,25℃以下干燥处保存。,未知,未知,其他：血管性水肿；血红蛋白和红细胞压积；血清肌酐；血清钾异常；,尚未在儿童患者中进行本品的药代动力学研究。,65岁以上患者无需进行剂量调整。,详见说明书。,国药准字HJ20170363
￥6.80,立方 丹皮酚软膏 10克/支*1支/盒 抗过敏药有消炎止痒作用防治感冒,100000061225,丹皮酚软膏,36,（非处方药）中成药,软膏剂,密封，置阴凉处（不超过20℃）保存。,详见说明书,本品用于各种湿疹，皮炎，皮肤瘙痒，蚊臭虫叮咬红肿等各种皮肤疾患，对过敏性鼻炎和防治感冒也有一定效果。,尚不明确。,未知,未知,对本品过敏者禁用。,国药准字Z34020837
￥11.50,[葵花] 三七伤药片0.3g*27片/盒,100022959238,三七伤药片,36,（处方药）中成药,片剂,密封。,未知,未知,尚不明确。,未知,未知,尚不明确。,国药准字Z23022146
￥9.90,丁克 盐酸特比萘芬乳膏 10克：0.1克*2支 手足癣 股癣 花斑癣 治脚气 皮肤念珠菌病齐鲁制药,3546814,盐酸特比萘芬乳膏,36,（非处方药）化学药制剂,其他,密闭，置阴凉处（不超过20℃）保存。,详见说明书,详见说明书。,详见说明书,详见说明书。,详见说明书。,详见说明书,国药准字H10970135
￥11.90,龙泰 益气养血口服液 10ml*10支 益气养血 用于气血不足所致的气短心悸,3388434,益气养血口服液,36,（非处方药）中成药,溶液剂,密封。,详见说明书,本品用于气血不足所致的气短心悸、面色不华、体虚乏力。,尚不明确。,未知,未知,尚不明确。,国药准字Z20053013
￥5.90,锄选联苯苄唑乳膏15g:150mg*15g*1支 股癣花斑癣手足癣,100015833902,联苯苄唑乳膏,24,（非处方药）化学药制剂,乳膏剂,密闭，在阴凉处（不超过20℃）保存。,外用，一日1次，2-4周为一疗程。涂布患处，并轻轻揉搓几分钟。,本品用于治疗各种皮肤真菌病，如手、足癣，体、股癣，花斑癣。,偶见过敏反应。个别患者局部发生瘙痒、灼热感、红斑等反应。,未知,未知,尚不明确。,国药准字H20043157
￥45.00,"
南同四海南京同仁堂 四物汤 红桃四物汤搭四物汤中药材独立小包袋装补四物汤膏气熟地黄当归白芍川芎血原材料八珍汤颗粒女养生茶八珍袋泡茶包",100053359174,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥84.40,[欧开] 七叶皂苷钠片30mg*48片/盒,100062617077,七叶皂苷钠片,36,（处方药）化学药制剂,片剂,遮光，密封保存。,未知,未知,未知,未知,未知,未知,国药准字H20051590
￥24.20,为快乐 瑞巴派特片 0.1g*24片,6818783,瑞巴派特片,24,（处方药）化学药制剂,片剂,密封保存。,未知,未知,详见说明书,本品对于小儿的安全性尚未确认（使用经验少）。,由于一般老年患者生理机能低下，应注意消化系统的副作用。,详见说明书,国药准字H20010015
￥110.00￥107.80,达克宁脚气药硝酸咪康唑乳膏20g*5盒止痒药膏脚痒水泡脱皮烂脚丫的药糜烂型脚气水泡脱皮痒达克宁软膏,100058915539,硝酸咪康唑乳膏,60,（非处方药）化学药制剂,乳膏剂,密封保存,一日一次,详见说明书,偶见过敏、水疱、烧灼感、充血、瘙痒或其他皮肤刺激症状。非常罕见血管神经性水肿、荨麻疹、湿疹、接触性皮炎、红斑、骨盆痛（痉挛）、阴道刺激、阴道分泌物和给药部位不适。,未知,未知,已知对硝酸咪康唑、本品其他成份或其他咪唑类衍生物过敏者禁用。,国药准字H61020001
￥12.00,快克 咽炎片 0.25g*12片*3板 养阴润肺 清热解毒 清利咽喉 镇咳止痒 慢性咽炎引起咽干 咽痒 刺激性咳嗽,100023057196,咽炎片,24,（非处方药）中成药,片剂,密封,未知,养阴润肺，清热解毒，清利咽喉，镇咳止痒。用于慢性咽炎引起咽干，咽痒，刺激性咳嗽。,尚不明确。,未知,未知,尚不明确。,国药准字Z52020404
￥22.50,[葛泰] 地奥司明片0.45g*24片/盒,100017320488,地奥司明片,48,（处方药）化学药制剂,片剂,密封保存,未知,未知,有少数轻微胃肠反应和植物神经紊乱的报告，但未致必须中断治疗。,未进行该项目实验无可靠参考文献。,遵医嘱。,对本品中任何成份过敏者禁用。,国药准字H20058471
￥52.50,聚协昌  金花清感颗粒  5g*6袋,100016297818,金花清感颗粒,36,（处方药）中成药,颗粒剂,密封，置阴凉干燥处,未知,未知,常见：恶心、呕吐、腹泻、胃部不适、烧心、纳差等胃肠道不良反应。其他：用药后肝功能异常、心悸或皮疹。,本品尚无研究数据支持用于儿童,本品尚无研究数据支持用于老龄人群,详见说明书。,国药准字Z20160001
￥25.50￥24.20,南同四海 锁阳 搭锁阳中药材 金锁阳片泡酒药材男性滋补茶,100039878504,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥70.00,天舒平 奥美沙坦酯氨氯地平片14片/盒,100022190590,奥美沙坦酯氨氯地平片,24,（处方药）化学药制剂,片剂,遮光，密封保存,未知,未知,通常奥美沙坦酯的不良反应是轻微、一过性的，且无剂量相关性。水肿是氨氯地平已知具有剂量相关性的不良反应。[临床试验经验和上市后经验]治疗期间最常见的不良反应包括外周水肿（11.3%）、头痛（5.3%）和头晕（4.5%）。详见说明书。,尚未确定本品在18岁以下儿童和青少年中的安全性和疗效。目前无可用的数据。,老年人（≥65岁）：老年人用药推荐剂量一般无需调整，若要增加剂量应慎重。老年患者的氨氯地平清除率下降。年龄≥75岁的患者应以氨氯地平2.5mg的剂量开始单药服用或添加服用氨氯地平。如果奥美沙坦酯的用药剂量需要逐步调整到每日的最大剂量40mg，则应当密切监测血压变化。,详见说明书,国药准字H20203643
￥22.00,华康 脑安片 0.53g*24片/盒 ,100055046087,脑安片,36,（处方药）中成药,片剂,密封,未知,未知,尚不明确。,未知,未知,未知,国药准字Z19991034
￥12.90,"
燕花姬黑枸杞桑葚干120g  熬夜透支元气冲泡代用茶 独立包装即冲即饮8g*15包",100077441895,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥59.00,[修正] 男宝胶囊0.3g*72粒/盒,4752473,男宝胶囊,36,（处方药）中成药,胶囊剂,密封,未知,未知,尚不明确。,未知,未知,尚不明确。,国药准字Z22022516
￥26.90,乐敦rohto 曼秀雷敦乐敦清眼药水复方氯化钠滴眼液（II）13ml隐形眼镜滴眼液缓解眼疲劳美瞳眼药水干眼症疲劳眼干眼涩,100016428412,复方氯化钠滴眼液（Ⅱ),36,（非处方药）化学药制剂,其他,密封保存,详见说明书。,干眼症、眼睛疲劳、戴隐形眼镜引起的不适症状和视物模糊（眼分泌物过多）。,本品未见明显不良反应。,未知,未知,对本品过敏者禁用,国药准字H20031271
￥16.90,北京同仁堂 杞菊地黄丸（浓缩丸）120丸 滋肾养肝 眩晕耳鸣 迎风流泪,3108270,杞菊地黄丸（浓缩丸）,48,（非处方药）中成药,丸剂,密封。,详见说明书,肝肾阴亏，眩晕耳鸣，羞明畏光，迎风流泪，视物昏花。,尚不明确。,未知,未知,详见说明书,国药准字Z19993069
￥25.00,盐酸莫西沙星片0.4g*6片/盒,100038347300,盐酸莫西沙星片,36,（处方药）抗生素制剂,片剂,遮光，不超过25℃密封保存。请将药品置于儿童触及不到的地方。,未知,未知,1、严重和其他重要的不良反应：致残和潜在的不可逆转的严重不良反应，包括肌腱炎和肌腱断裂、周围神经病变和中枢神经系统的影响。（1）肌腱病和肌腱断裂。（2）QT间期延长。（3）过敏反应。（4）其他严重并且有时致命的反应。（5）中枢神经系统的影响。（6）艰难梭菌相关性腹泻。（7）周围神经病变。（8）对血糖的干扰。（9）光敏感性/光毒性。（10）耐药菌的形成。详见说明书。,儿童和青少年（＜18岁）禁止使用盐酸莫西沙星。尚未确定盐酸莫西沙星在儿童和青少年中的有效性和安全性。,老年患者不必调整用药剂量。老年患者在使用氟喹诺酮类药物，如盐酸莫西沙星时会增加严重肌腱疾病，包括肌腱断裂的风险，在患者同时接受皮质类固醇治疗时，这种风险会进一步增加。肌腱炎或肌腱断裂可以涉及跟腱、手、肩或其他肌腱所在位置，可能发生在治疗期间或完成治疗之后，已有报告在使用氟喹诺酮类药物治疗数月后发生肌腱炎或肌腱断裂。在向老年患者，尤其是同时使用皮质类固醇的老年患者开具处方时应谨慎，患者应该被告知这个潜在的副作用，并建议如果发生任何症状的肌腱炎或肌腱断裂应停用盐酸莫西沙星并联系医生。详见说明书。,详见说明书且遵医嘱医用。,国药准字H20193432
￥29.80,白云山潘高寿 治咳川贝枇杷露 150ml  清热化痰止咳 用于感冒、支气管炎属痰热阻肺证，症见咳嗽、痰黏或黄。,8052318,治咳川贝枇杷露,24,（非处方药）中成药,溶液剂,密封。,未知,清热化痰止咳。用于感冒支气管炎属痰热阻肺证，证见咳嗽、痰黏或黄。,详情见说明书,详情见说明书,详情见说明书,详情见说明书,国药准字Z44022393
￥50.00,[安明松] 缬沙坦氢氯噻嗪片 80mg:12.5mg*28片/盒,100100955568,缬沙坦氢氯噻嗪片,36,（处方药）化学药制剂,片剂,防潮，30°C以下保存。,未知,未知,详情见说明书,未知,未知,详情见说明书,国药准字H20213285
￥172.00,[拜新同] 硝苯地平控释片30mg*14片/盒 4盒装,100072473408,硝苯地平控释片,36,（处方药）化学药制剂,片剂,避光，30°C以下密封保存，从铝塑板中取出后应立即服用。将药品置于儿童触及不到的地方。,未知,未知,常见：水肿、头疼。其他：低血压、心动过速、心悸、眩晕、粒细胞缺乏症、白细胞减少症、瘙痒、荨麻疹等。,详见说明书,详见说明书,详见说明书。,国药准字J20180025（H20171341）
￥43.00,"
养益君 覆盆子桑葚枸杞茶180g（30小袋） 覆盆子黑桑葚枸杞复盆子茶覆盆子茶桑葚干 男女泡水小袋茶包",100097744484,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥30.90,诺通 盐酸赛洛唑啉鼻用喷雾剂10ml:5mg*1支  过敏鼻炎 鼻塞 鼻窦炎肥厚性鼻炎药,100015493058,盐酸赛洛唑啉鼻用喷雾剂,24,（非处方药）化学药制剂,喷雾剂,遮光，密封保存,详见说明书,用于减轻因急、慢性鼻炎，鼻窦炎，过敏性鼻炎，肥厚性鼻炎等疾病引起的鼻塞症状。,1、用药过频易致反跳性鼻充血，久用可致药物性鼻炎。2、少数人有轻微烧灼感、针刺感、鼻黏膜干燥以及头痛、头晕、心率加快等反应。3、与其他同类药物相似，极罕见全身过敏反应，如呼吸困难，血管神经性水肿，轻微或暂时视觉障碍。,详见说明书,详见说明书,详见说明书,国药准字H19991392
￥12.90,同仁堂 桑菊感冒片 0.6g*40片/盒疏风清热宜肺止咳用于风热感冒初起头痛咳嗽口干咽痛,100008934457,桑菊感冒片,36,（非处方药）中成药,片剂,密封。,未知,疏风清热，宣肺止咳。本品用于风热感冒初起，头痛，咳嗽，口干，咽痛。,尚不明确。,未知,未知,未知,国药准字Z11020443
￥15.80,北京同仁堂 桂附地黄丸（水蜜丸）360丸 温补肾阳补肾药用于肾阳不足所致腰膝痠冷小便不利痰饮喘咳,2919299,桂附地黄丸,36,（非处方药）中成药,丸剂,详见说明书,未知,本品用于肾阳不足，腰膝痿冷，小便不利或反多，痰饮喘咳。,尚不明确。,未知,未知,未知,国药准字Z20055685
￥60.00,[柏美星] 百蕊颗粒5g*6袋/盒,5833544,百蕊颗粒,36,（处方药）中成药,颗粒剂,密封。,未知,未知,未知,详见说明书,详见说明书,详见说明书。,国药准字Z20090694
￥5.50,息息通 盐酸萘甲唑啉滴鼻液8ml/支/盒 河北金芳老款精装滴鼻净成人过敏性及炎症性鼻充血急慢性鼻炎奈甲鼻炎用药,100051802853,盐酸萘甲唑啉滴鼻液,36,（非处方药）化学药制剂,鼻用制剂,遮光、密封保存。,详情见说明书,用于过敏性及炎症性鼻充血。详情见说明书,详情见说明书,详情见说明书,详情见说明书,详情见说明书,国药准字H13022416
￥39.90,"
南同四海南京同仁堂 覆盆子茶 覆盆子果覆盆子干覆盆子片覆复盆子药覆盆子男女滋补养生茶精选饱满覆贫子覆盘子覆棚子茶包",100073880923,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥13.80,金维多宝 多维元素片（21）50片用于预防和治疗因维生素和矿物质缺乏所引起的各种疾病,100027087597,多维元素片（21）,24,（非处方药）化学药制剂,片剂,遮光，密封，在干燥处保存,详见说明书,用于预防和治疗因维生素及矿物质缺乏所引起的各种疾病。,未知,未知,未知,未知,国药准字H34023786
￥9.90,效期到2024年6月28日[健得] 热炎宁合剂100ml/盒,5880286,热炎宁合剂,18,（处方药）中成药,其他,密闭，置阴凉处。,未知,未知,尚不明确。,未知,未知,未知,国药准字Z20050493
￥36.00,仁和 联苯苄唑溶液0.01g*70ml/瓶,100072746471,联苯苄唑溶液,24,（非处方药）化学药制剂,溶液剂,密封，在阴凉(不超过20℃)处保存。,外用，一日1次，2~4周为一疗程。用脱脂棉蘸取少量，涂搽局部。,用于治疗各种皮肤真菌病，如手、足癣，体、股癣，花斑癣。,未知,未知,未知,未知,国药准字H20083747
￥53.00,[克拉仙] 克拉霉素片0.25g*8片/盒,5732061,克拉霉素片,60,（处方药）化学药制剂,片剂,避光，密封，在干燥处保存。,未知,未知,克拉霉素耐受性好。成人及儿童服用克拉霉素后，最频繁、最常见的不良反应有腹痛、腹泻、恶心、呕吐和味觉异常。这些不良反应通常为轻度，且与已知的大环内酯类抗生素的安全性信息是一致的。临床试验发现，已存在分枝杆菌感染的患者与不存在的患者相比，胃肠道不良反应的发生率没有显著差异。详见说明书,建议使用克拉霉素干混悬剂。,参见【药代动力学】老年受试者内容。,1.有大环内酯类抗生素过敏史者禁用，严重肝功能不全的患者禁用；2.禁用于孕妇及哺乳期妇女；3.克拉霉素禁止与下列药物合用：阿司咪唑、西沙必利匹莫齐特、特非那定、麦角胺和氢化麦角胺（见药物相互作用）。,国药准字H20033044
￥50.00,[人福] 他克莫司软膏0.1%*10g/盒,100058140615,他克莫司软膏,24,（处方药）化学药制剂,软膏剂,在25℃以下保存,未知,未知,常见癫痫发作；淋巴瘤；大疱脓疱病、骨髓炎、败血病；红斑痤疮等。其他视力异常、脓肿、类过敏反应、贫血、厌食、焦虑、关节炎、关节病、胆红索血症等。,（1）普特彼他克莫司软膏不适用于2岁以下的儿童。（2）普特彼他克莫司软膏对正在发育的免疫系统的长期安全性和作用尚不清楚。（3）对总数达4400例的2-15岁的患者进行了4项研究：一项为12周的随机赋形剂对照的研究，三项为期一到三年的开放安全性研究，其中2500例患者年龄为2至6岁。详见说明书。,在III期临床试验中，有25例年龄在65岁及以上的患者接受了本品治疗。这些患者发生不良事件的情况与其它成年患者一致。,详情见说明书,国药准字H20183376
￥39.00,"
优卓 茯苓八珍糕不加蔗糖红枣山药八珍糕调理脾胃芡实健薏湿糕气脾重中式糕点养生独立小包装茯苓糕零食品",100078485671,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
￥23.00,仲景 香砂六君丸(浓缩丸)200丸 益气健脾 和胃 消化不良 嗳气食少 脾虚气滞 脘腹胀满 大便溏泄,100012690336,香砂六君丸（浓缩丸）,60,（非处方药）中成药,丸剂,密封,详见说明书,本品用于脾虚气滞，消化不良，嗳气食少，脘腹胀满，大便溏泄。,尚不明确。,未知,未知,孕妇忌服,国药准字Z41021828
￥29.90,中国药材 同济堂 枣仁安神胶囊 0.45g*25粒 头晕目眩 心悸失眠,3546678,枣仁安神胶囊,36,（非处方药）中成药,胶囊剂,密封。,详见说明书,本品用于心血不足所致的失眠、健忘、心烦、头晕；神经衰弱症见上述证候者。,详见说明书。,未知,未知,尚不明确。,国药准字Z20010033
￥51.00,上药牌 麝香保心丸  22.5mg*60粒  ,4611972,麝香保心丸,36,（处方药）中成药,丸剂,密封,未知,未知,本品舌下含服者偶有麻舌感。,未知,未知,详见说明书。,国药准字Z31020068
￥23.00,思密达 蒙脱石散3g*10袋 （草莓味） 慢性腹泻,3538736,蒙脱石散,48,（非处方药）化学药制剂,散剂,密封，在干燥处保存,详见说明书。,用于成人急、慢性腹泻。儿童急性腹泻，详情可见说明书,详见说明书。,未知,未知,详见说明书,国药准字H20000690
￥19.20,星鲨维生素D滴剂400单位*24粒 预防维生素D缺乏性佝偻病,100009280445,维生素D滴剂,24,（非处方药）化学药制剂,滴剂,遮光，密封保存。,详见说明书,维生素D缺乏性佝偻病,其他：骨关节疼痛；肿胀；皮肤瘙痒；口唇干裂；发热；头痛；呕吐；便秘；腹泻；恶心等。,未知,未知,未知,国药准字H35021450
